Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
A1,false,0.1,Target 1,SYBR,Standard,Undetermined,203000000
A2,false,0.01,Target 1,SYBR,Standard,4.824122715871909,20300000
A3,false,0.001,Target 1,SYBR,Standard,9.985104910097313,2030000
A4,false,1.0E-4,Target 1,SYBR,Standard,14.506903452153406,203000
A5,false,1.0E-5,Target 1,SYBR,Standard,19.65772127479446,20300
A6,false,1.0E-6,Target 1,SYBR,Standard,23.343292774158215,2030
A7,false,1.0E-7,Target 1,SYBR,Standard,26.585409270157214,203
A8,false,1.0E-8,Target 1,SYBR,Standard,28.975892699661586,20.3
A9,false,1.0E-9,Target 1,SYBR,Standard,29.953149029276005,2.03
A10,false,1.0E-10,Target 1,SYBR,Standard,30.433998629229663,0.203
B1,false,LG-plas-wa 1,Target 1,SYBR,Unknown,17.469542889581128,22464.305439033746
B2,false,LG-plas-wa 2,Target 1,SYBR,Unknown,15.788153110172502,72521.24158952782
B3,false,LG-plas-wa 3,Target 1,SYBR,Unknown,14.15325369328787,226654.52998701675
B4,false,LG-plas-lar 1,Target 1,SYBR,Unknown,16.0649122014856,59798.142588187984
B5,false,LG-plas-lar 2,Target 1,SYBR,Unknown,21.276410731192072,1581.6809893430789
B6,false,LG-plas-lar 3,Target 1,SYBR,Unknown,20.02848187108468,3774.665756558814
B7,false,LG-plas-pu 1,Target 1,SYBR,Unknown,20.74057057528085,2297.85523833809
B8,false,LG-plas-pu 2,Target 1,SYBR,Unknown,21.531848688197883,1323.7179648598164
B9,false,LG-plas-pu 3,Target 1,SYBR,Unknown,21.72143020518078,1159.8648428141357
B10,false,LG-plas-ad 1,Target 1,SYBR,Unknown,28.36684550478511,11.292204072080304
B11,false,LG-plas-ad 2,Target 1,SYBR,Unknown,26.472853573339698,42.277333801311734
B12,false,LG-plas-ad 3,Target 1,SYBR,Unknown,27.466149022406654,21.15572303600667
C1,false,LG-tire-wa 1,Target 1,SYBR,Unknown,17.41443545610894,23343.959719603692
C2,false,LG-tire-wa 2,Target 1,SYBR,Unknown,16.15712325878313,56075.68075966449
C3,false,LG-tire-wa 3,Target 1,SYBR,Unknown,18.397859744460092,11762.046678694944
C4,false,LG-tire-lar 1,Target 1,SYBR,Unknown,20.777662563396255,2239.2087238364925
C5,false,LG-tire-lar 2,Target 1,SYBR,Unknown,19.62205738008563,5010.798666856625
C6,false,LG-tire-lar 3,Target 1,SYBR,Unknown,18.908736779025134,8238.263823678433
C7,false,LG-tire-pu 1,Target 1,SYBR,Unknown,24.865118194604705,129.6534143157688
C8,false,LG-tire-pu 2,Target 1,SYBR,Unknown,29.189896304621996,6.362585473540922
C9,false,LG-tire-pu 3,Target 1,SYBR,Unknown,23.904835380057392,253.20393254145142
C10,false,LG-tire-ad 1,Target 1,SYBR,Unknown,27.370439827233064,22.615173879188486
C11,false,LG-tire-ad 2,Target 1,SYBR,Unknown,28.162474446923106,13.020981662445179
C12,false,LG-tire-ad 3,Target 1,SYBR,Unknown,26.80128412630733,33.62703882448302
D1,false,TD-plas-wa 1,Target 1,SYBR,Unknown,22.599589540402405,628.8983173495305
D2,false,TD-plas-wa 2,Target 1,SYBR,Unknown,24.70863373780915,144.59499155870063
D3,false,TD-plas-wa 3,Target 1,SYBR,Unknown,21.7526574775912,1134.8921718712402
D4,false,TD-plas-lar 1,Target 1,SYBR,Unknown,24.87231426457459,129.00473207256488
D5,false,TD-plas-lar 2,Target 1,SYBR,Unknown,22.54439458054216,653.5645047623768
D6,false,TD-plas-lar 3,Target 1,SYBR,Unknown,22.99703177322111,476.7283655653116
D7,false,TD-plas-pu 1,Target 1,SYBR,Unknown,26.478160402845184,42.12124162420719
D8,false,TD-plas-pu 2,Target 1,SYBR,Unknown,22.133029274835387,870.587725651362
D9,false,TD-plas-pu 3,Target 1,SYBR,Unknown,26.55233174218307,39.99897056470737
D10,false,TD-plas-ad 1,Target 1,SYBR,Unknown,27.840417576064766,16.297962732580913
D11,false,TD-plas-ad 2,Target 1,SYBR,Unknown,27.340855697499734,23.086352412811284
D12,false,TD-plas-ad 3,Target 1,SYBR,Unknown,25.529101956334742,81.61874883082253
E1,false,TD-tire-wa 1,Target 1,SYBR,Unknown,20.664751949679,2422.555103969285
E2,false,TD-tire-wa 2,Target 1,SYBR,Unknown,21.378167735571004,1473.3845398065446
E3,false,TD-tire-wa 3,Target 1,SYBR,Unknown,20.55522314888784,2614.7432184269514
E4,false,TD-tire-lar 1,Target 1,SYBR,Unknown,24.71242269317151,144.21362661658557
E5,false,TD-tire-lar 2,Target 1,SYBR,Unknown,28.180879057650486,12.85501185276281
E6,false,TD-tire-lar 3,Target 1,SYBR,Unknown,24.366618944433128,183.52037630694437
E7,false,TD-tire-pu 1,Target 1,SYBR,Unknown,26.819070314107687,33.21273052251019
E8,false,TD-tire-pu 2,Target 1,SYBR,Unknown,26.02085112432546,57.933919596822705
E9,false,TD-tire-pu 3,Target 1,SYBR,Unknown,25.76656631817871,69.16832752409162
E10,false,TD-tire-ad 1,Target 1,SYBR,Unknown,24.79684610768225,135.9723332891648
E11,false,TD-tire-ad 2,Target 1,SYBR,Unknown,26.73216889809776,35.2866511566941
E12,false,TD-tire-ad 3,Target 1,SYBR,Unknown,26.687683259135675,36.397927730496335
