Experiment	Sample_name	alias	host	isolation_source	collection_date	life_stage	storage	geographic_location	province	lat_lon	container_description	env_medium	temp	ph	metagenome
SRR9615545	CN3.19S.A.AE.P3	CN3.19S.A.AE.P3	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Colon	Portobelo	9.15493 N 80.3044 W	Plastic sheet	plastic	26.46	8.69	Metagenome or environmental
SRR9615548	LS1.29S.A.AE.P4	LS1.29S.A.AE.P4	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	La Villa	7.93291666 N 80.41505555 W	Plastic sheet	plastic	29.53	7.6	Metagenome or environmental
SRR9615549	LS1.29S.A.AE.P5	LS1.29S.A.AE.P5	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	La Villa	7.93291666 N 80.41505555 W	Plastic container	plastic	27.1	6.46	Metagenome or environmental
SRR9615553	P.AS10.A.AE.P2	P.AS10.A.AE.P2	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Panama	Taller Dadym	8.929222 N 79.701722 W	Tyre	rubber	NA	NA	Metagenome or environmental
SRR9615555	LS5.22S.A.AE.P2	LS5.22S.A.AE.P2	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	Pedasi	7.53266666 N 80.02983333 W	Small plastic tank	plastic	25.77	7.6	Metagenome or environmental
SRR9615556	LS1.25S.A.AE2	LS1.25S.A.AE2	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	La Villa	7.93236111 N 80.41925 W	Small plastic tank	plastic	28.17	6.65	Metagenome or environmental
SRR9615558	LS1.26S.A.AE.P1	LS1.26S.A.AE.P1	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	La Villa	7.93236111 N 80.41925 W	Plastic sheet	plastic	30.23	6.69	Metagenome or environmental
SRR9615559	LS1.26S.A.AE1	LS1.26S.A.AE1	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	La Villa	7.93236111 N 80.41925 W	Plastic sheet	plastic	30.23	6.69	Metagenome or environmental
SRR9615560	LS1.26S.A.AE2	LS1.26S.A.AE2	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	La Villa	7.93236111 N 80.41925 W	Plastic sheet	plastic	30.23	6.69	Metagenome or environmental
SRR9615561	LS1.28S.A.AE1	LS1.28S.A.AE1	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	La Villa	7.93563888 N 80.42216666 W	Plastic container	plastic	26.9	6.67	Metagenome or environmental
SRR9615562	LS1.28S.A.AE2	LS1.28S.A.AE2	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	La Villa	7.93563888 N 80.42216666 W	Plastic container	plastic	26.9	6.67	Metagenome or environmental
SRR9615564	P.AS9.A.AE.P2	P.AS9.A.AE.P2	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Panama	Monterico	9.10666 N 79.36527 W	Tyre	rubber	30.13	5.97	Metagenome or environmental
SRR9615565	P1.16S.A.AE.P1	P1.16S.A.AE.P1	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Panama	Princesa Mia	8.97333333 N 79.7 W	Pool	plastic	33.81	5.72	Metagenome or environmental
SRR9615570	LS2.22S.A.AE10	LS2.22S.A.AE10	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	Paritilla	7.62841666 N 80.17741666 W	Tank	rubber	28.42	7.44	Metagenome or environmental
SRR9615571	LS2.22S.A.AE.P5	LS2.22S.A.AE.P5	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	Paritilla	7.62841666 N 80.17741666 W	Tank	plastic	28.42	7.44	Metagenome or environmental
SRR9615572	LS2.24S.A.AE2	LS2.24S.A.AE2	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	Paritilla	7.62841666 N 80.17741666 W	Small plastic tank	plastic	29.03	7.46	Metagenome or environmental
SRR9615573	LS2.24S.A.AE1	LS2.24S.A.AE1	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	Paritilla	7.62841666 N 80.17741666 W	Small plastic tank	plastic	29.03	7.46	Metagenome or environmental
SRR9615576	P.AS12.A.AE.P1	P.AS12.A.AE.P1	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Panama	Panama	9.03994 N 79.46021 W	Wooden door	wood	28.97	9.9	Metagenome or environmental
