Experiment	sample_name	isolation_source	collection_date	geographic_location	lat_lon	sample_size	metagenome
SRR11035393	STC9E	water 100_bucket	2017-06-01	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035394	STC8E	water 99_drum	2017-06-01	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035395	STC7E	water 98_gutter manhole	2017-06-01	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035396	STC6E	water 97_tire	2017-06-01	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035397	STC5E	water 96_tire	2017-06-01	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035398	STC4E	water 95_tire	2017-06-01	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035399	STC3E	water 94_drum	2017-06-01	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035400	STC2E	water 93_citern	2017-06-01	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035401	STC1E	water 92_drum	2017-06-01	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035402	STC10E	water 91_drum	2017-06-01	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035403	ABY9E	water 10_drum	2017-05-24	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035404	SF9E	water 90_drum	2017-05-30	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035405	SF8E	water 89_bucket	2017-05-30	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035406	SF7E	water 88_plants container	2017-05-30	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035407	SF6E	water 87_bucket	2017-05-30	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035408	SF5E	water 86_bucket	2017-05-30	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
